ISBN-0001,;Foundations of C++;,B. Stroustrup,Addison-Wesley,0,10,10,
ISBN-0002,;Advanced Algorithms;,C. Papadimitriou,MIT Press,2,7,7,
ISBN-0003,;Discrete Mathematics;,R. Johnsonbaugh,Pearson,0,12,12,
ISBN-0004,;Intro to Physics;,D. Halliday,John Wiley & Sons,3,8,8,
ISBN-0005,;Medical Microbiology;,P. Murray,Elsevier,4,5,5"
ISBN-0006,;Business Ethics;,R. Freeman,Oxford,6,6,6,
ISBN-0007,;Psychology Basics;,S. Freud,Penguin,7,9,9,
ISBN-0008,;Law in Practice;,M. Smith,Oxford,5,4,4,
ISBN-0009,;Research Methods;,L. Cooper,Sage,2,11,11,
ISBN-0010,;Journal of STEM;,Various,Various,1,20,20,
ISBN-0011,;Old Thesis Collection;,Various,University Press,8,3,3,
ISBN-0012,;Miscellaneous Essays;,A. Author,Random House,9,2,2,
ISBN-0013,;Engineering Mechanics;,J. Beer,McGraw-Hill,3,15,15,
ISBN-0014,;Corporate Finance;,J. Berk,Prentice Hall,6,13,13,
ISBN-0015,;Programming Paradigms;,B. Kernighan,Prentice Hall,0,14,14,
